,Domains
FBgn0033368,Aa_trans/Trp_Tyr_perm
FBgn0033367,Hemocyanin_M/Hemocyanin_C/Hemocyanin_N/Tyrosinase
FBgn0033366,Peptidase_M2
FBgn0033365,Trypsin
FBgn0033363,Trypsin/DUF1986/Trypsin_2
FBgn0033362,Trypsin/DUF316/Trypsin_2
FBgn0033313,GAIN/GPS/Gal_Lectin
FBgn0001285,Trypsin/Trypsin_2/DUF1986
FBgn0033321,Trypsin/CLIP_1
FBgn0033323,Na_Ca_ex
FBgn0043576,Amidase_2
FBgn0033327,Amidase_2
FBgn0043575,Amidase_2
FBgn0040777,Mtp
FBgn0033326,Na_Ca_ex
FBgn0033324,Na_Ca_ex
FBgn0033320,Trypsin/CLIP_1
FBgn0033312,Fibrinogen_C
FBgn0033308,CPCFC
FBgn0033301,CBM39
FBgn0002534,Chitin_bind_4
FBgn0002535,Chitin_bind_4
FBgn0002569,Alpha-amylase
FBgn0033294,Alpha-amylase
FBgn0050359,Alpha-amylase
FBgn0050360,Alpha-amylase
FBgn0033297,Alpha-amylase/DUF3459
FBgn0050361,7tm_3/ANF_receptor/NCD3G
FBgn0033296,Alpha-amylase
FBgn0002571,Alpha-amylase
FBgn0002570,Alpha-amylase
FBgn0002533,Chitin_bind_4
FBgn0002531,Chitin_bind_4
FBgn0033289,UNC-93/MFS_1
FBgn0028563,Sugar_tr/MFS_1
FBgn0028562,Sugar_tr/MFS_1/MFS_5
FBgn0028561,Sugar_tr/MFS_1
FBgn0033257,Ion_trans_2/Ion_trans/IRK
FBgn0033259,RSN1_7TM/PHM7_cyt/RSN1_TM
FBgn0053087,Ldl_recept_a/Ldl_recept_b/FXa_inhibition/SGL/EGF_CA/cEGF/EGF
FBgn0013726,Septin/MMR_HSR1/RsgA_GTPase
FBgn0033277,Trypsin/CUB
FBgn0050371,Trypsin/CUB/Trypsin_2
FBgn0050375,Trypsin/CUB
FBgn0010504,PDZ
FBgn0033268,PBP_GOBP
FBgn0025469,MtN3_slv
FBgn0033221,DUF4728
FBgn0003317,PK_Tyr_Ser-Thr/Pkinase/TGF_beta_GS/Activin_recp
FBgn0033234,MFS_1/Sugar_tr
FBgn0033244,PK_Tyr_Ser-Thr/Pkinase/WH2
FBgn0033241,Peptidase_M14/Propep_M14
FBgn0026393,7tm_6/7tm_7
FBgn0033232,DUF1180
FBgn0029093,Asp/TAXi_N/A1_Propeptide/TAXi_C
FBgn0033192,Trypsin/Fz/Ldl_recept_a/Trypsin_2/SRCR_2/DUF1986
FBgn0015614,EF-hand_7/EF-hand_1/EF-hand_6/EF-hand_5/EF-hand_8/EF-hand_4/SPARC_Ca_bdg
FBgn0003733,PK_Tyr_Ser-Thr/Pkinase/fn3
FBgn0033212,CARMIL_C/Carm_PH/LRR_6/LRR_1/LRR_4
FBgn0033199,LysM
FBgn0033196,MFS_1/OATP
FBgn0004132,Mesd
FBgn0003174,EGF_CA/EGF_3
FBgn0033158,DUF4816
FBgn0050503,Phospholip_A2_2
FBgn0041243,7tm_7
FBgn0033159,Ig_3/I-set/fn3/Ig_2/ig/Dscam_C/V-set/C2-set_2/Pur_ac_phosph_N/Ig_5/Ig_4/Ig_6
FBgn0033127,Tetraspanin
FBgn0033128,Tetraspanin/DUF2339
FBgn0033129,Tetraspanin
FBgn0033130,Tetraspanin
FBgn0033132,Tetraspanin
FBgn0033133,Tetraspanin
FBgn0033134,Tetraspanin
FBgn0016032,Tetraspanin
FBgn0033135,Tetraspanin
FBgn0033136,Tetraspanin/BPD_transp_2
FBgn0033139,Tetraspanin
FBgn0024294,Serpin
FBgn0003090,PET/LIM
FBgn0026389,7tm_6
FBgn0002930,Serpin
FBgn0044011,Serpin
FBgn0033138,Tetraspanin
FBgn0033137,Tetraspanin
FBgn0040324,Ephrin
FBgn0039911,Rapsyn_N/TPR_12/TPR_MalT/TPR_1/zf-RING_2/zf-RING_5/TPR_2
FBgn0026199,TGF_beta
FBgn0039916,Lig_chan/Lig_chan-Glu_bd/ANF_receptor/SBP_bac_3
FBgn0039896,MRJP
FBgn0039902,Zip
FBgn0053481,Ig_3/ig/I-set/V-set/Ig_2
FBgn0051999,EGF_CA/cEGF/EGF_3/FXa_inhibition/hEGF/EGF_MSP1_1/EGF
FBgn0039889,Arf/Roc/Ras/SRPRB/G-alpha/MMR_HSR1
FBgn0051997,SVWC
FBgn0011747,Ank_2/Ank/Ank_4/Ank_3/Ank_5/UPA_2/ZU5/Death/PK_C
FBgn0025740,Plexin_cytopl/Plexin_RBD/TIG/TIG_2/TIG_plexin/PSI/Sema
FBgn0019985,ANF_receptor/7tm_3/NCD3G/Peripla_BP_6
FBgn0013749,Arf/Roc/SRPRB/Ras/G-alpha/Gtr1_RagA/MMR_HSR1
FBgn0039928,CLSTN_C/Cadherin/Laminin_G_3/Laminin_G_2
FBgn0024913,TGF_beta/TGFb_propeptide
FBgn0011642,LIM
FBgn0010473,Ig_3/I-set/Ig_2/ig/V-set/fn3/Ig_6/Pur_ac_phosph_N/C2-set_2/Tissue_fac/V-set_CD47/Receptor_2B4/Sema4F_C
FBgn0003386,Ion_trans/BTB_2/Ion_trans_2
FBgn0004577,An_peroxidase
FBgn0010453,wnt
FBgn0010549,ABC_membrane/ABC_tran/MMR_HSR1/AAA_21/AAA_29/RsgA_GTPase/AAA_23/AAA_16/Dynamin_N/AAA_22/DUF815/DUF87/MnmE_helical
FBgn0036362,CBM_14
FBgn0002565,Hemocyanin_M/Hemocyanin_C/Hemocyanin_N
FBgn0038282,ig/V-set/Ig_3/Ig_2/I-set
FBgn0016047,PAN_1
FBgn0039817,MFS_1/Sugar_tr
FBgn0003892,Patched/Sterol-sensing/MMPL
FBgn0052000,E1-E2_ATPase/P5-ATPase
FBgn0002921,E1-E2_ATPase/Cation_ATPase_C/Cation_ATPase/Cation_ATPase_N/Hydrolase/Hydrolase_3
FBgn0011672,Nramp
FBgn0036414,Ion_trans/Ank_2/Ank/Ank_3/Ank_4/Ank_5
FBgn0034275,Sulfate_transp
FBgn0028743,RGS
FBgn0034279,XK-related
FBgn0036101,Ninjurin
FBgn0030887,OLF/Ig_3/Collagen/I-set/ig/Ig_2/V-set
FBgn0020429,Lig_chan/Lig_chan-Glu_bd/ANF_receptor/SBP_bac_3
FBgn0036790,7tm_1/7TM_GPCR_Srsx/7TM_GPCR_Srx/CitMHS
FBgn0053493,Attacin_C
FBgn0036302,Ank/Ank_2/Ank_5/Ank_3/Ank_4
FBgn0031835,DPPIV_N/Peptidase_S9/BD-FAE/Peptidase_S15
FBgn0028425,AA_permease_2/AA_permease
FBgn0003380,Ion_trans/BTB_2/Ion_trans_2
FBgn0037153,Cu2_monoox_C/DOMON/Cu2_monooxygen
FBgn0038448,Sugar_tr/MFS_1
FBgn0028560,Sugar_tr/MFS_1
FBgn0037222,Trypsin
FBgn0037986,Band_7
FBgn0038440,7tm_7
FBgn0004595,HPD
FBgn0061435,DUF4768
FBgn0051665,EGF/hEGF/EGF_CA
FBgn0051720,7tm_2/Methuselah_N
FBgn0052206,CUB/Ldl_recept_a
FBgn0052656,CBM_14
FBgn0031518,PK_Tyr_Ser-Thr/Pkinase
FBgn0023531,AIP3
FBgn0035802,RhoGEF/PH
FBgn0032120,PhoLip_ATPase_C/PhoLip_ATPase_N/Cation_ATPase/Hydrolase/E1-E2_ATPase/Hydrolase_3
FBgn0053459,Trypsin
FBgn0053467,DUF1091
FBgn0013305,Bax1-I
FBgn0025456,Pyrid_oxidase_2
FBgn0026379,PTEN_C2/DSPc/Y_phosphatase
FBgn0039207,ABC_tran/ABC_membrane/AAA_21/AAA_16/MMR_HSR1/AAA_29/AAA_22/RsgA_GTPase/MnmE_helical
FBgn0002567,Ras/Roc/Arf/Gtr1_RagA
FBgn0031548,LRR_8/LRR_4
FBgn0039915,SNF
FBgn0020445,ABC2_membrane/ABC_tran/ABC2_membrane_7/AAA_21/AAA_29
FBgn0004509,Peptidase_S8/S8_pro-domain/P_proprotein
FBgn0000117,Arm/Adaptin_N/HEAT_2/Cnd1/HEAT/KAP/V-ATPase_H_N/HEAT_EZ
FBgn0010329,Cu2_monoox_C/Cu2_monooxygen/DOMON
FBgn0001991,Ion_trans/Ca_chan_IQ/GPHH/PKD_channel/CAC1F_C
FBgn0032456,ABC_membrane/ABC_tran/AAA_16/AAA_29/AAA_22/MMR_HSR1
FBgn0015513,DOCK_N/DOCK-C2/DHR-2_Lobe_C/DHR-2_Lobe_A/DHR-2_Lobe_B
FBgn0045479,Trehalose_recp/7tm_7
FBgn0045478,Trehalose_recp/7tm_7
FBgn0045477,Trehalose_recp/7tm_7
FBgn0002917,Ion_trans
FBgn0030562,CAP
FBgn0030559,DUF2368
FBgn0030551,EB
FBgn0029720,Phospholip_A2_2
FBgn0025613,DUF4812
FBgn0036879,Chitin_bind_4
FBgn0036878,Chitin_bind_4
FBgn0036876,His_Phos_2
FBgn0036874,PKD_channel/Polycystin_dom/Ion_trans
FBgn0019929,Trypsin
FBgn0030158,CAP18_C/Apolipoprotein
FBgn0030162,Lipase
FBgn0027588,Glyco_hydro_31/Gal_mutarotas_2
FBgn0010215,Vinculin
FBgn0039532,Ras/Roc/Arf/GTP_EFTU
FBgn0046258,DUF4786
FBgn0039529,MBF2
FBgn0029679,EXS/SPX
FBgn0031645,MFS_1
FBgn0051437,Collagen
FBgn0039332,LRR_8/LRR_4/LRR_5/LRR_9
FBgn0032864,Peptidase_S28/Hydrolase_4/Abhydrolase_1
FBgn0042175,LCAT/Hydrolase_4
FBgn0051683,LCAT/Hydrolase_4
FBgn0032860,TMIE
FBgn0033541,Amphi-Trp
FBgn0031195,CD20
FBgn0043530,PBP_GOBP
FBgn0040503,Lectin_C
FBgn0015872,MIP
FBgn0053196,EGF_3/EGF_CA/cEGF/EGF
FBgn0040849,Lig_chan-Glu_bd
FBgn0032949,Lamp
FBgn0030715,7tm_6/7tm_7
FBgn0030723,Ig_3/I-set/ig/V-set/Ig_2
FBgn0032167,ABC2_membrane/ABC_tran/AAA_21/ABC2_membrane_7/AAA_29/AAA_23
FBgn0051876,Chitin_bind_4
FBgn0031089,EGF_3/EGF
FBgn0031097,CBM_14
FBgn0022770,CBM_14
FBgn0031090,Ras/Roc/Arf/GTP_EFTU/MMR_HSR1/RsgA_GTPase/MnmE_helical/Gtr1_RagA
FBgn0025743,Pkinase/PK_Tyr_Ser-Thr/PBD/ABC1/Kinase-like
FBgn0030761,SKICH/Exo_endo_phos
FBgn0030756,SBF
FBgn0031201,DUF389
FBgn0033404,7tm_6
FBgn0033250,LRR_8/LRR_5/LRR_4/LRR_1/LRR_9
FBgn0034072,DAG1/He_PIG
FBgn0033911,Aa_trans
FBgn0034479,Sugar_tr/MFS_1/TRI12
FBgn0031654,Trypsin
FBgn0031653,Trypsin/Trypsin_2
FBgn0053508,ASC
FBgn0053512,Ig_3/ig/I-set/V-set/Ig_2
FBgn0053513,Lig_chan/Lig_chan-Glu_bd/ANF_receptor/SBP_bac_3
FBgn0053516,V-set/I-set/Ig_3/Ig_2/ig/V-set_CD47
FBgn0053530,ACP53EA
FBgn0053531,F5_F8_type_C
FBgn0053532,Lectin_C
FBgn0053533,Lectin_C
FBgn0053542,Unpaired
FBgn0053543,Ig_3/I-set/ig/Ig_2/V-set_CD47/V-set/C2-set_2
FBgn0053547,C2/FYVE_2/PDZ/PDZ_6
FBgn0032789,MCPsignal
FBgn0030018,PK_Tyr_Ser-Thr/Pkinase/SH3_1/SH3_9/SH3_2/ABC1
FBgn0004648,Peptidase_M14/CarboxypepD_reg/CarbopepD_reg_2/DUF1416
FBgn0029723,7tm_1/7TM_GPCR_Srw/7TM_GPCR_Srsx/7TM_GPCR_Srx
FBgn0035331,7TM_GPCR_Srw/7tm_1
FBgn0040726,V-set/Ig_3/I-set/ig/Ig_2
FBgn0038087,Ig_3/Ig_2
FBgn0003984,I-set/Ig_3/Ig_2/ig/EGF
FBgn0010894,Claudin_2/PMP22_Claudin
FBgn0003429,BK_channel_a/Ion_trans/Ion_trans_2
FBgn0033170,Phospholip_A2_2/Phospholip_A2_4
FBgn0039927,Lig_chan/ANF_receptor/Lig_chan-Glu_bd/SBP_bac_3
FBgn0034990,Abhydrolase_1/Hydrolase_4
FBgn0015770,TIR_2/TIR/LRR_8/LRRNT
FBgn0041707,Secretogranin_V
FBgn0002440,Chitin_bind_4
FBgn0041242,7tm_7
FBgn0023416,Guanylate_cyc/AC_N
FBgn0040097,Lectin_C
FBgn0000241,ABC_tran/ABC2_membrane/ABC2_membrane_7/AAA_16
FBgn0004907,14-3-3
FBgn0039914,TGF_beta/TGFb_propeptide
FBgn0004369,Y_phosphatase/fn3/Pur_ac_phosph_N/Y_phosphatase3/PTPlike_phytase
FBgn0010114,Sushi/HRM
FBgn0000427,DEC-1_N/Dec-1/DEC-1_C
FBgn0040107,Lectin_C
FBgn0050048,REJ/PLAT
FBgn0051266,Trypsin/DUF1986/Trypsin_2
FBgn0051439,CBM_14
FBgn0041605,Synaphin
FBgn0039396,7tm_1/7tm_4
FBgn0014141,Filamin/Big_3_5/Y_Y_Y/PPC
FBgn0038295,HNOBA/Guanylate_cyc/HNOB
FBgn0014135,FGF
FBgn0033809,MFS_1/Sugar_tr
FBgn0000008,PDZ/PDZ_6/PDZ_2/Peptidase_M50
FBgn0022710,Guanylate_cyc
FBgn0038201,7tm_1/7tm_4/7TM_GPCR_Srx/7TM_GPCR_Srsx
FBgn0000721,Pkinase/PK_Tyr_Ser-Thr/cNMP_binding/Kinase-like
FBgn0003218,IP_trans/DDHD
FBgn0024836,Cadherin/Laminin_G_2/7tm_2/Laminin_G_1/GAIN/EGF/Cadherin_3/HRM/Laminin_EGF/RET_CLD1/hEGF/Dicty_CAR
FBgn0031016,LRR_8/I-set/Ig_3/LRR_5/LRR_4/ig/Ig_2/V-set
FBgn0025936,PK_Tyr_Ser-Thr/Ephrin_lbd/Pkinase/EphA2_TM/SAM_1/fn3/SAM_2/Pur_ac_phosph_N/ABC1/Ephrin_rec_like
FBgn0000578,WH1/VASP_tetra/Ran_BP1
FBgn0031649,CitMHS/CitMHS_2
FBgn0039900,C2
FBgn0031474,RINGv/THH1_TOM1-3_dom/EGF_2/EGF_Tenascin
FBgn0025726,MUN/C2/C1_1
FBgn0032666,Fasciclin
FBgn0038139,7tm_1/7TM_GPCR_Srw/7tm_4
FBgn0031802,ASC
FBgn0037100,7tm_1/7TM_GPCR_Srsx/7tm_4/7TM_GPCR_Srx/7TM_GPCR_Srw
FBgn0031294,Y_phosphatase/Receptor_IA-2
FBgn0050372,ArfGap/BAR_3/Ank_2/Ank/SH3_9/SH3_1/PH/SH3_2/Ank_4/Ank_5/Ank_3
FBgn0030844,ASC
FBgn0039675,ASC
FBgn0039676,ASC
FBgn0015777,Na_K-ATPase
FBgn0052547,7tm_1/DUF3915
FBgn0053626,DUF1091
FBgn0053627,DUF1091
FBgn0053630,DUF1091
FBgn0053631,DUF1091
FBgn0053639,7tm_1
FBgn0029948,DUF1091
FBgn0053640,DUF1091
FBgn0053641,DUF1091
FBgn0053642,DUF1091
FBgn0053643,DUF1091
FBgn0053644,DUF1091
FBgn0053645,DUF1091
FBgn0053647,DUF1091/PBECR4/Agglutinin
FBgn0053648,DUF1091
FBgn0035068,DUF1091
FBgn0053654,DUF1091
FBgn0015609,Cadherin/Laminin_G_2/CADH_Y-type_LIR/Laminin_G_1/Cadherin_3/EGF/Cadherin_pro/RET_CLD1/hEGF
FBgn0053680,JHBP
FBgn0002524,Aminotran_1_2/Beta_elim_lyase
FBgn0039157,Myosin_head/Myosin_TH1/AAA_22
FBgn0011676,NO_synthase/Flavodoxin_1
FBgn0034324,DUF1091
FBgn0034325,DUF1091
FBgn0053483,DUF1091
FBgn0032888,DUF1091
FBgn0051221,Ldl_recept_a
FBgn0051016,P4Ha_N/2OG-FeII_Oxy_3
FBgn0053687,DUF1091
FBgn0053688,DUF1091
FBgn0053689,DUF1091
FBgn0053690,DUF1091
FBgn0053696,7tm_1/7TM_GPCR_Srw/7TM_GPCR_Srx
FBgn0052843,7tm_2/HRM
FBgn0036783,DUF1091
FBgn0001624,L27_1
FBgn0053700,DUF1091
FBgn0053702,DUF1091
FBgn0053703,DUF1091
FBgn0260458,Amidase_2
FBgn0042182,P4Ha_N/2OG-FeII_Oxy_3
FBgn0053723,DUF1091
FBgn0053725,DUF1091
FBgn0014163,GST_C_6/GST_N_4/GST_C_2/Tom37/GST_C_3
FBgn0034906,DUF1091
FBgn0052269,Trypsin/Trypsin_2
FBgn0052270,Trypsin/Trypsin_2
FBgn0034518,Trypsin/Trypsin_2
FBgn0053752,DUF1091
FBgn0053137,DUF1091
FBgn0036789,7tm_1/7TM_GPCR_Srsx/7TM_GPCR_Srx/7TM_GPCR_Srv
FBgn0035486,Trehalose_recp/7tm_7
FBgn0038880,7tm_1/7TM_GPCR_Srsx/7TM_GPCR_Srx/7tm_4
FBgn0053757,DUF1091
FBgn0053758,DUF1091
FBgn0053764,DUF1091
FBgn0053766,DUF1091
FBgn0053767,DUF1091
FBgn0053768,DUF1091
FBgn0053769,DUF1091
FBgn0053770,DUF1091
FBgn0053771,DUF1091
FBgn0053777,DUF1091
FBgn0053783,DUF1091
FBgn0053784,DUF1091
FBgn0039582,7tm_6
FBgn0063923,Kazal_1/Kazal_2
FBgn0035239,2-oxogl_dehyd_N
FBgn0053792,DUF1091
FBgn0053795,DUF1091
FBgn0053796,DUF1091
FBgn0039621,DUF1091
FBgn0053463,DUF1091
FBgn0051072,CIMR
FBgn0033652,FGF
FBgn0053096,Hydrolase_4/Abhydrolase_1/Peptidase_S9/Abhydrolase_6/DLH
FBgn0034283,DUF1091
FBgn0053912,DUF1091
FBgn0053914,DUF1091
FBgn0033739,EF-hand_2/EF-hand_3/ZZ
FBgn0053476,DUF1091
FBgn0053919,DUF1091
FBgn0053920,DUF1091
FBgn0053922,DUF1091
FBgn0053923,DUF1091
FBgn0053927,DUF1091
FBgn0053928,DUF1091
FBgn0067311,DUF1091
FBgn0024293,Serpin
FBgn0260466,Na_sulph_symp/CitMHS
FBgn0064119,Na_sulph_symp/CitMHS
FBgn0053632,DUF1091
FBgn0053721,DUF1091
FBgn0031414,EGF/Laminin_G_2/Laminin_G_1/hEGF/EGF_2/Laminin_G_3
FBgn0034903,Reprolysin_3/ADAMTS_CR_2/Reprolysin/Reprolysin_2/Reprolysin_5/Reprolysin_4
FBgn0024963,Neur_chan_LBD/Neur_chan_memb
FBgn0032536,Peptidase_M2
FBgn0020880,CUB/Activator_LAG-3
FBgn0032812,zf_Hakai
FBgn0034317,Lectin_C
FBgn0053958,Guanylate_cyc/NIT/HNOBA
FBgn0038131,DUF1676
FBgn0031930,Peptidase_M14/Propep_M14
FBgn0038714,Chitin_bind_4
FBgn0031220,ABC2_membrane/ABC_tran/ABC2_membrane_7/AAA_21/RsgA_GTPase
FBgn0000152,Anoctamin
FBgn0030778,Peptidase_M14/CarboxypepD_reg/CarbopepD_reg_2
FBgn0050280,Fibrinogen_C
FBgn0039648,Reeler
FBgn0032551,Trypsin
FBgn0000277,Cecropin/Fungus-induced
FBgn0034165,Destabilase
FBgn0036603,Retinin_C
FBgn0036607,Retinin_C
FBgn0004047,Lipase
FBgn0025632,7tm_1/7TM_GPCR_Srw
FBgn0010406,Ribonuclease_T2
FBgn0036493,AA_permease_2/AA_permease/AA_permease_C/Lig_chan
FBgn0020372,Tetraspanin
FBgn0053517,7tm_1/7TM_GPCR_Srsx/7TM_GPCR_Srv/7tm_4
FBgn0000094,Cecropin
FBgn0010241,ABC_membrane/ABC_tran/ABC_ATPase/AAA_22/AAA_16/Rad17/AAA_29/RsgA_GTPase/AAA/AAA_7/AAA_5/AAA_30/AAA_18/AAA_28/AAA_24/G-alpha/ATP-synt_ab
FBgn0000355,Chorion_2
FBgn0034820,ORC4_C
FBgn0031285,BRICHOS
FBgn0004644,HH_signal/Hint
FBgn0030522,TM2
FBgn0038980,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0052056,Scramblase
FBgn0015773,Laminin_N/Laminin_EGF/NTR
FBgn0037326,Ras/Roc
FBgn0033631,Sod_Cu/CHRD
FBgn0036680,Chitin_bind_4
FBgn0260479,SNF/Cuticle_4
FBgn0053970,ABC_tran/ABC2_membrane_3/ABC2_membrane/AAA_21/ABC2_membrane_2
FBgn0031619,Trypsin/Trypsin_2
FBgn0011205,Fumble
FBgn0013720,Claudin_2
FBgn0000276,Cecropin/Fungus-induced
FBgn0041624,7tm_6
FBgn0041623,7tm_6
FBgn0021764,fn3/I-set/Ig_3/Ig_2/ig/Pur_ac_phosph_N/V-set/C2-set_2/Ig_6
FBgn0040099,Lectin_C
FBgn0000278,Cecropin
FBgn0038002,Trypsin/Trypsin_2
FBgn0035976,Amidase_2
FBgn0039454,CBM_14
FBgn0038063,7tm_1/7TM_GPCR_Srsx
FBgn0053978,EGF_CA/Plasmod_Pvs28/EGF_3
FBgn0000551,Chitin_bind_4
FBgn0035880,CUB/Ldl_recept_a
FBgn0038717,MFS_1/Sugar_tr
FBgn0031261,Neur_chan_LBD/Neur_chan_memb
FBgn0050087,Trypsin/Trypsin_2
FBgn0053460,Trypsin/DUF1986
FBgn0053461,Trypsin/DUF1986
FBgn0053462,Trypsin/DUF1986
FBgn0025741,Plexin_cytopl/Plexin_RBD/TIG/PSI/TIG_2/TIG_plexin/Sema
FBgn0000044,Actin
FBgn0036203,CBM_14
FBgn0053983,CBM_14
FBgn0053985,CBM_14
FBgn0053986,CBM_14
FBgn0040508,Guanylate_cyc/AC_N
FBgn0053988,Mid1
FBgn0032023,QVR
FBgn0036793,P4Ha_N/TPR_8/TPR_2
FBgn0000552,Chitin_bind_4
FBgn0032151,Neur_chan_LBD/Neur_chan_memb
FBgn0043791,Alk_phosphatase
FBgn0034978,DUF4802
FBgn0010240,Neur_chan_memb/Neur_chan_LBD
FBgn0051693,CitMHS/CitMHS_2/Na_sulph_symp
FBgn0003366,PK_Tyr_Ser-Thr/fn3/Pkinase/Pur_ac_phosph_N
FBgn0039736,Sulfate_transp
FBgn0020906,Trypsin/Trypsin_2
FBgn0000719,FOG_N
FBgn0030262,SVWC
FBgn0036599,Retinin_C
FBgn0039924,PIP5K
FBgn0031515,ABC2_membrane/ABC_tran/ABC2_membrane_7/RsgA_GTPase/AAA_21/AAA_23/AAA_29/AAA_16
FBgn0034286,Ig_3/ig/V-set/I-set/Ig_2
FBgn0050098,Trypsin/DUF1986
FBgn0034139,Trypsin/Trypsin_2
FBgn0030897,EF-hand_1/EF-hand_7/EF-hand_6/EF-hand_5/EF-hand_8/EF-hand_4/SPARC_Ca_bdg
FBgn0039592,Endonuclease_NS
FBgn0053679,DUF1091
FBgn0053998,MBF2
FBgn0054002,CAP
FBgn0040658,zf-LITAF-like
FBgn0054005,DUF725
FBgn0053772,DUF1091
FBgn0053773,DUF1091
FBgn0053775,DUF1091
FBgn0053658,DUF1091
FBgn0054026,MBF2
FBgn0054028,DUF1091
FBgn0054033,Lectin_C
FBgn0038156,Ig_3/I-set/ig/Ig_2/C2-set_2/V-set/fn3/Izumo-Ig
FBgn0053465,Trypsin/DUF1986
FBgn0053798,DUF1091
FBgn0054038,DUF4773
FBgn0054040,DUF753
FBgn0054041,P4Ha_N
FBgn0065110,ASC
FBgn0054043,Trypsin
FBgn0054049,CAP
FBgn0065108,ASC
FBgn0065109,ASC
FBgn0013674,COX1
FBgn0000384,G-alpha/Arf
FBgn0025837,G_glu_transpept
FBgn0025835,Acyl_transf_3/NRF
FBgn0039941,Na_Ca_ex
FBgn0040031,Na_Ca_ex
FBgn0058160,Trypsin/CLIP_1
FBgn0034389,C2/PRT_C/DUF639
FBgn0083940,Ras/Roc
FBgn0083941,Cwf_Cwc_15
FBgn0083945,DUF389
FBgn0083949,Ig_3/I-set/Ig_2/ig/C2-set_2/V-set/C1-set
FBgn0083950,Ig_3/I-set/Ig_2/ig/C2-set_2/V-set/V-set_CD47/fn3
FBgn0083961,DAZAP2
FBgn0083963,COesterase/BD-FAE/Abhydrolase_3
FBgn0083965,Trypsin
FBgn0083966,Trypsin
FBgn0083975,COesterase/BD-FAE/Abhydrolase_3
FBgn0083979,Lig_chan-Glu_bd/Lig_chan
FBgn0011288,SNAP-25
FBgn0058470,ERAP1_C/Peptidase_M1_N/Peptidase_M1
FBgn0063368,Cys_knot
FBgn0058263,MFS_1
FBgn0085200,Trypsin/Trypsin_2
FBgn0085206,SVWC
FBgn0085207,SVWC
FBgn0085210,DUF4818
FBgn0085213,DM4_12
FBgn0085218,TIL
FBgn0085228,DUF4794
FBgn0085234,Cuticle_3
FBgn0085244,SVWC
FBgn0085249,CBM_14
FBgn0085263,DUF4768
FBgn0085273,Kazal_2
FBgn0085289,DUF1091/E1_DerP2_DerF2
FBgn0085300,Chitin_bind_4
FBgn0085305,Kunitz_BPTI
FBgn0085311,CBM_14
FBgn0085319,Trypsin
FBgn0085324,Trypsin
FBgn0085332,DUF1091
FBgn0085345,JHBP
FBgn0085353,CBM_14
FBgn0085354,LIM
FBgn0085358,Diedel
FBgn0085370,PDEase_I/GAF/GAF_2
FBgn0085374,P4Ha_N/2OG-FeII_Oxy_3
FBgn0085376,FERM_M/FERM_C/FERM_N/FA
FBgn0085382,I-set/Ig_3/ig/Ig_2/V-set/Ig_6/Ig_5/fn3/C2-set_2
FBgn0085384,DM13/DOMON
FBgn0085387,Innexin
FBgn0085390,DAGK_acc/DAGK_cat
FBgn0085395,Ion_trans/BTB_2/Ion_trans_2
FBgn0085397,LRR_8/LRR_4/LRR_5/LRR_1
FBgn0085398,ASC
FBgn0085399,CUB
FBgn0085400,Ig_3/Ig_2/I-set/ig/C2-set_2/V-set/Ig_5/Ig_4
FBgn0085408,ASD2
FBgn0085409,F5_F8_type_C
FBgn0085410,7tm_1/7tm_4
FBgn0085412,PH
FBgn0085414,Ig_3/I-set/ig/V-set/Ig_2/V-set_CD47
FBgn0085419,Ras/Roc/RsgA_GTPase/SRPRB/Arf
FBgn0085420,I-set
FBgn0085421,RasGEF/cNMP_binding/DEP/RasGEF_N
FBgn0085422,RasGEF/RasGEF_N
FBgn0085423,VASt/GRAM
FBgn0085425,Ion_trans_2
FBgn0085426,Ras/Arf
FBgn0085428,NAD_binding_6/FAD_binding_8/EF-hand_1/EF-hand_6/EF-hand_7/Ferric_reduct/EF-hand_5/EF-hand_8/NAD_binding_1/EF-hand_9
FBgn0085431,CUB
FBgn0085434,Ion_trans/PKD_channel/GPHH
FBgn0085438,Trypsin/Trypsin_2
FBgn0085440,LRR_8/7tm_1/LRR_4/LRR_1/LRR_5/Ldl_recept_a/LRR_9/7tm_4
FBgn0085442,NKAIN
FBgn0085447,RhoGEF/PH/RBD/Tiam_CC_Ex/PH_9/WH1
FBgn0085456,CBM_14
FBgn0085457,DM4_12
FBgn0085458,DM4_12
FBgn0085465,Trypsin/DUF1986
FBgn0085466,Trypsin/DUF1986
FBgn0085471,DM4_12
FBgn0085472,DM4_12
FBgn0085473,DM4_12
FBgn0085474,zf-LITAF-like
FBgn0085476,Lipase/Abhydrolase_1/Abhydrolase_6
FBgn0085477,Lipase/Abhydrolase_6/Abhydrolase_2
FBgn0085478,DHHC
FBgn0085483,Kazal_1/Kazal_2
FBgn0085487,Trypsin
FBgn0085488,DUF745
FBgn0085489,SVWC
FBgn0085491,Chitin_bind_4
FBgn0085599,LPMO_10
FBgn0086266,Vitelline_membr
FBgn0086347,Myosin_head/Myosin_TH1/IQ
FBgn0086357,SecY/Plug_translocon
FBgn0086359,Peptidase_M8
FBgn0086365,Sugar_tr/MFS_1/MFS_2
FBgn0086384,ERM_C/FERM_C/FERM_M/ERM_helical/FERM_N
